IdPersona,TotalVisitas,DiasActivo,TiempoActivoDias,VisitasUlt30,VisitasUlt90,VisitasUlt180,PropUlt90,DiasDesdeUltima,tasa_caida_visitas,DuracionMediaTotal,DuracionMediaUlt90,DeltaDuracionUlt90VsTotal,StdDiasEntreVisitas,FrecuenciaModal,MaxRachaSinVisita,MaxRachaConVisita,SemanasConVisitaRatio,HoraMediaAcceso,PropVisitasFinDeSemana,PropVisitasFestivo,VisitasPrimerTrimestre,VisitasUltimoTrimestre,DiaFav_domingo,DiaFav_jueves,DiaFav_lunes,DiaFav_martes,DiaFav_miércoles,DiaFav_sábado,DiaFav_viernes,EstFav_invierno,EstFav_otono,EstFav_primavera,EstFav_verano,TieneAccesos
13252,6,6,42,3,6,6,1.0,298,1.0,29.547222222222217,29.547222222222217,0.0,11.341957503006261,3.0,31.0,2,0.42857142857142855,9.294444444444444,0.5,0.0,6,6,True,False,False,False,False,False,False,True,False,False,False,True
13268,82,82,364,23,49,60,0.5975609756097561,45,3.6923076923076925,61.33658536585365,61.582312925170065,0.004006215178929927,13.967443147150878,1.0,116.0,6,0.39622641509433965,7.313211382113822,0.25609756097560976,0.04878048780487805,13,48,False,False,True,False,False,False,False,False,False,False,True,True
13460,104,102,365,27,52,73,0.5,45,10.2,97.87724358974359,97.58429487179485,-0.0029930217403407763,10.713186411518475,1.0,92.0,11,0.4339622641509434,7.479647435897435,0.2692307692307692,0.038461538461538464,5,51,False,False,True,False,False,False,False,False,False,False,True,True
13886,50,49,361,5,19,25,0.38,48,1.5833333333333333,49.287333333333336,48.82280701754386,-0.009424862015720282,14.174846761653832,2.0,96.0,2,0.5384615384615384,7.647333333333333,0.06,0.06,12,19,False,False,False,False,False,False,True,False,False,False,True,True
14010,55,54,360,9,10,33,0.18181818181818182,45,0.9090909090909091,66.20181818181818,63.72333333333332,-0.03743831992163559,15.252200812657483,2.0,82.0,2,0.4807692307692308,14.39909090909091,0.3090909090909091,0.07272727272727272,11,10,False,False,False,True,False,False,False,False,False,True,False,True
14011,84,78,359,6,29,37,0.34523809523809523,45,0.9666666666666667,116.8628968253968,114.033908045977,-0.024207758461152595,6.13720322814004,2.0,42.0,3,0.6923076923076923,14.400793650793648,0.16666666666666666,0.011904761904761904,30,29,False,True,False,False,False,False,False,False,True,False,False,True
14253,64,64,365,11,20,27,0.3125,45,1.6666666666666667,129.52578125000002,140.83166666666665,0.08728675718114323,11.758359039705597,2.0,71.0,2,0.49056603773584906,11.503645833333332,0.390625,0.03125,12,20,False,False,False,False,False,True,False,True,False,False,False,True
14254,45,45,361,14,17,26,0.37777777777777777,47,1.4166666666666667,84.89703703703702,82.06862745098039,-0.033315763244160336,18.883108788561835,2.0,118.0,2,0.38461538461538464,10.311851851851852,0.35555555555555557,0.044444444444444446,12,17,True,False,False,False,False,False,False,False,False,False,True,True
14264,57,51,333,5,37,50,0.6491228070175439,77,6.0,42.07543859649123,42.500900900900895,0.010111892320122922,15.435834517281467,1.0,88.0,16,0.3125,7.560233918128655,0.3157894736842105,0.05263157894736842,6,36,False,True,False,False,False,False,False,False,False,False,True,True
14339,18,18,242,1,10,15,0.5555555555555556,167,3.3333333333333335,66.8185185185185,66.54666666666668,-0.004068510614710474,30.071540995676813,1.0,128.0,4,0.2857142857142857,8.414814814814815,0.16666666666666666,0.0,3,10,False,False,True,False,False,False,False,True,False,False,False,True
14435,18,18,261,2,11,14,0.6111111111111112,105,2.75,122.68518518518519,127.5909090909091,0.039986277873070304,22.769797272265492,1.0,97.0,3,0.34210526315789475,14.184259259259258,0.16666666666666666,0.05555555555555555,4,11,False,False,False,True,False,False,False,False,False,True,False,True
14872,50,50,365,13,24,38,0.48,45,24.0,91.29633333333334,88.80555555555554,-0.027282341873289474,19.900837049865462,1.0,124.0,6,0.37735849056603776,19.08833333333333,0.24,0.02,1,24,False,False,True,False,False,False,False,False,False,False,True,True
14876,148,114,364,38,38,90,0.25675675675675674,46,2.235294117647059,66.14786036036035,88.58552631578945,0.3392047124909735,9.202434854767288,1.0,91.0,18,0.5471698113207547,11.27725225225225,0.28378378378378377,0.033783783783783786,17,38,False,False,False,False,False,True,False,False,False,True,False,True
14903,29,29,312,9,14,17,0.4827586206896552,88,1.75,95.75574712643677,96.01309523809526,0.002687547425416486,9.876792009967774,4.0,32.0,2,0.4444444444444444,17.66954022988506,0.10344827586206896,0.034482758620689655,8,14,False,False,True,False,False,False,False,False,False,False,True,True
15072,52,51,252,7,7,8,0.1346153846153846,147,0.1590909090909091,68.25544871794872,71.18571428571428,0.04293086666053966,17.387635639319132,1.0,116.0,5,0.3783783783783784,7.0294871794871785,0.0,0.0,44,7,False,False,True,False,False,False,False,False,True,False,False,True
15075,49,48,352,5,9,12,0.1836734693877551,55,0.32142857142857145,36.38809523809524,36.775925925925925,0.01065817502380999,17.66509426964814,2.0,119.0,2,0.45098039215686275,7.376190476190475,0.1836734693877551,0.0,28,9,False,False,False,True,False,False,False,False,True,False,False,True
15316,11,11,205,3,8,10,0.7272727272727273,125,8.0,92.05909090909091,87.24375,-0.05230706561990813,28.44380424626776,3.0,99.0,2,0.23333333333333334,16.475757575757573,0.2727272727272727,0.0,1,8,False,True,False,False,False,False,False,False,False,True,False,True
15346,8,8,113,5,6,8,0.75,293,2.0,67.025,66.41944444444444,-0.009034771436860402,25.547874227634292,1.0,77.0,3,0.29411764705882354,10.54375,0.0,0.25,3,6,False,False,False,False,True,False,False,True,False,False,False,True
15349,3,3,139,1,1,3,0.3333333333333333,100,0.5,97.51666666666667,52.1,-0.4657323534438557,67.5,2.0,137.0,1,0.1,14.205555555555557,0.0,0.0,2,1,False,False,False,True,False,False,False,True,False,False,False,True
15358,75,73,364,10,10,49,0.13333333333333333,45,2.0,75.28088888888888,75.41499999999999,0.001781476189913913,16.23539406521706,1.0,118.0,10,0.4339622641509434,8.15888888888889,0.06666666666666667,0.04,5,10,False,False,True,False,False,False,False,False,False,True,False,True
15446,9,9,357,2,5,7,0.5555555555555556,47,5.0,77.66111111111111,74.2,-0.044566850275413086,60.49780471223728,18.0,173.0,1,0.17307692307692307,16.235185185185184,0.5555555555555556,0.0,1,5,False,False,False,False,False,True,False,False,False,False,True,True
15471,7,7,349,2,2,5,0.2857142857142857,56,1.0,99.4595238095238,62.525000000000006,-0.3713523089076675,81.53407603913566,2.0,218.0,1,0.12,12.41904761904762,0.0,0.0,2,2,False,False,False,True,False,False,False,False,False,True,False,True
15503,54,52,353,21,22,39,0.4074074074074074,45,3.142857142857143,32.21697530864197,37.492424242424256,0.16374749284322743,14.03088694761831,1.0,84.0,5,0.45098039215686275,13.93364197530864,0.2037037037037037,0.018518518518518517,7,22,False,False,True,False,False,False,False,False,False,False,True,True
15511,29,29,298,2,8,18,0.27586206896551724,102,0.8,54.00287356321838,45.1875,-0.16323897195764364,6.757082452161296,7.0,35.0,2,0.6511627906976745,10.304597701149424,0.06896551724137931,0.034482758620689655,10,8,False,False,False,False,True,False,False,True,False,False,False,True
15543,37,36,317,2,5,5,0.13513513513513514,78,0.16666666666666666,110.65450450450452,62.5,-0.4351788905488637,23.438832266661482,1.0,134.0,4,0.34782608695652173,17.33963963963964,0.08108108108108109,0.0,30,5,False,False,False,True,False,False,False,False,True,False,False,True
15544,30,29,307,2,8,13,0.26666666666666666,86,0.7777777777777778,86.67055555555554,95.12291666666667,0.09752286756363521,14.712221617509407,2.0,60.0,4,0.4318181818181818,13.151666666666667,0.2,0.03333333333333333,9,7,False,False,False,True,False,False,False,True,False,False,False,True
15604,70,58,364,18,47,55,0.6714285714285714,45,5.111111111111111,142.67142857142858,128.1851063829787,-0.10153625244733075,15.732256218937266,1.0,96.0,6,0.4339622641509434,13.753571428571426,0.12857142857142856,0.05714285714285714,9,46,False,False,True,False,False,False,False,False,False,False,True,True
15633,58,58,363,21,23,48,0.39655172413793105,47,3.8333333333333335,112.90344827586208,124.70217391304344,0.10450279258391654,14.484876055701356,1.0,63.0,8,0.3269230769230769,11.323850574712644,0.3448275862068966,0.034482758620689655,6,23,True,False,False,False,False,False,False,False,False,True,False,True
15735,20,20,150,4,13,20,0.65,259,1.0833333333333333,156.85500000000002,151.24358974358975,-0.03577450675088627,7.181077010867596,2.0,33.0,1,0.6363636363636364,9.851666666666668,0.15,0.05,12,13,False,False,False,False,True,False,False,False,True,False,False,True
